"","Var1","Freq"
"187","Britannia International Hotel Canary Wharf",4789
"1298","Strand Palace Hotel",4256
"1153","Park Plaza Westminster Bridge London",4169
"246","Copthorne Tara Hotel London Kensington",3578
"286","DoubleTree by Hilton Hotel London Tower of London",3212
"376","Grand Royale London Hyde Park",2958
"538","Holiday Inn London Kensington",2768
"523","Hilton London Metropole",2628
"1025","Millennium Gloucester Hotel London",2565
"840","Intercontinental London The O2",2551
"1137","Park Grand Paddington Court",2288
"527","Hilton London Wembley",2227
"1145","Park Plaza County Hall London",2223
"177","Blakemore Hyde Park",2178
"1147","Park Plaza London Riverbank",2167
"940","M by Montcalm Shoreditch London Tech City",2155
"288","DoubleTree by Hilton London Docklands Riverside",2147
"1283","St James Court A Taj Hotel London",2070
"1135","Park Grand London Kensington",2059
"619","Hotel Da Vinci",1877
"544","Holiday Inn London Wembley",1848
"522","Hilton London Kensington Hotel",1845
"650","Hotel Esther a",1837
"1409","The Tower A Guoman Hotel",1828
"159","Best Western Premier Hotel Couture",1809
"1336","The Cumberland A Guoman Hotel",1809
"1383","The Park Grand London Paddington",1770
"1195","Ramada Apollo Amsterdam Centre",1704
"356","Golden Tulip Amsterdam West",1686
"225","citizenM Tower of London",1683
"235","Club Quarters Hotel St Paul s",1606
"1150","Park Plaza Victoria Amsterdam",1595
"1034","Mondrian London",1593
"263","Crowne Plaza London Docklands",1579
"1405","The Student Hotel Amsterdam City",1576
"1251","Shaftesbury Premier London Paddington",1546
"518","Hilton London Canary Wharf",1541
"1080","Norfolk Towers Paddington",1531
"223","citizenM London Bankside",1517
"1347","The Grosvenor",1517
"539","Holiday Inn London Kensington Forum",1502
"935","London Marriott Hotel West India Quay",1481
"290","DoubleTree By Hilton London Excel",1464
"1012","Mercure Paris Terminus Nord",1459
"1151","Park Plaza Victoria London",1443
"1390","The Principal London",1425
"1483","WestCord Fashion Hotel Amsterdam",1364
"1182","Radisson Blu Edwardian Grafton",1354
"354","Glam Milano",1335
"1375","The Montcalm At Brewery London City",1317
"1188","Radisson Blu Edwardian Vanderbilt",1298
"1093","Novotel London West",1283
"179","Bloomsbury Palace Hotel",1273
"282","Dorsett Shepherds Bush",1266
"41","Amba Hotel Marble Arch",1262
"283","DoubleTree by Hilton Amsterdam Centraal Station",1254
"1027","Millennium Hotel London Mayfair",1253
"1092","Novotel London Wembley",1251
"297","DoubleTree by Hilton London Westminster",1243
"1061","NH Collection Amsterdam Grand Hotel Krasnapolsky",1243
"500","Hampshire Hotel Amsterdam American",1242
"1173","Pullman London St Pancras",1242
"535","Holiday Inn London Bloomsbury",1216
"1426","Thistle Euston",1214
"1282","St George s Hotel Wembley",1212
"222","citizenM Amsterdam",1178
"1189","Radisson Blu Hotel Amsterdam",1177
"525","Hilton London Paddington",1167
"844","Jaz Amsterdam",1157
"387","Grange St Paul s Hotel",1154
"1186","Radisson Blu Edwardian New Providence Wharf",1148
"1286","St Pancras Renaissance Hotel London",1147
"234","Club Quarters Hotel Lincoln s Inn Fields",1139
"275","De Vere Devonport House",1130
"549","Holiday Inn Paris Gare de l Est",1129
"34","Aloft London Excel",1126
"1386","The Piccadilly London West End",1125
"628","Hotel degli Arcimboldi",1118
"1425","TheWesley",1117
"251","Corus Hotel Hyde Park",1114
"1253","Shangri La Hotel at The Shard London",1113
"1057","NH Carlton Amsterdam",1110
